[Maven-spring][INFO] [2018-05-01 08:58:19] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(260) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[Maven-spring][INFO] [2018-05-01 08:58:19] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(187) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5bcab519, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e45f292, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5f2108b5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@31a5c39e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f49dace, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e397ed7]
[Maven-spring][INFO] [2018-05-01 08:58:19] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext.xml]
[Maven-spring][INFO] [2018-05-01 08:58:21] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext-ehcache.xml]
[Maven-spring][INFO] [2018-05-01 08:58:21] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(583) | Refreshing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 08:58:21 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 08:58:23] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.afterPropertiesSet(130) | Initializing EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 08:58:25] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[Maven-spring][INFO] [2018-05-01 08:58:25] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
[Maven-spring][INFO] [2018-05-01 08:58:25] org.springframework.jdbc.support.SQLErrorCodesFactory.<init>(127) | SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
[Maven-spring][INFO] [2018-05-01 08:58:25] org.springframework.context.support.AbstractApplicationContext.doClose(984) | Closing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 08:58:21 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 08:58:25] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(187) | Shutting down EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 08:58:25] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
[Maven-spring][INFO] [2018-05-01 08:59:17] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(260) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[Maven-spring][INFO] [2018-05-01 08:59:17] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(187) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5bcab519, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e45f292, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5f2108b5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@31a5c39e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f49dace, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e397ed7]
[Maven-spring][INFO] [2018-05-01 08:59:17] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext.xml]
[Maven-spring][INFO] [2018-05-01 08:59:17] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext-ehcache.xml]
[Maven-spring][INFO] [2018-05-01 08:59:17] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(583) | Refreshing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 08:59:17 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 08:59:19] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.afterPropertiesSet(130) | Initializing EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 08:59:20] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[Maven-spring][INFO] [2018-05-01 08:59:20] org.springframework.context.support.AbstractApplicationContext.doClose(984) | Closing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 08:59:17 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 08:59:20] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(187) | Shutting down EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 08:59:20] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
[Maven-spring][INFO] [2018-05-01 09:11:26] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(260) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[Maven-spring][INFO] [2018-05-01 09:11:26] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(187) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5bcab519, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e45f292, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5f2108b5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@31a5c39e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f49dace, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e397ed7]
[Maven-spring][INFO] [2018-05-01 09:11:27] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext.xml]
[Maven-spring][INFO] [2018-05-01 09:11:27] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/applicationContext-ehcache.xml]
[Maven-spring][INFO] [2018-05-01 09:11:27] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(583) | Refreshing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 09:11:27 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 09:11:29] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.afterPropertiesSet(130) | Initializing EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 09:11:30] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[Maven-spring][INFO] [2018-05-01 09:11:30] org.springframework.context.support.AbstractApplicationContext.doClose(984) | Closing org.springframework.context.support.GenericApplicationContext@cd2dae5: startup date [Tue May 01 09:11:27 CST 2018]; root of context hierarchy
[Maven-spring][INFO] [2018-05-01 09:11:30] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(187) | Shutting down EhCache CacheManager
[Maven-spring][INFO] [2018-05-01 09:11:30] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
